canonical_ligand_id,inchikey,mapping_status,component_ids,component_names,smiles_values,component_types,pdb_ids,notes
ligand:1B58:unknown,,scoped_name_fallback,,,,peptide,1B58,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B5G:unknown,,scoped_name_fallback,,,,peptide,1B5G,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B5H:unknown,,scoped_name_fallback,,,,peptide,1B5H,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B5I:unknown,,scoped_name_fallback,,,,peptide,1B5I,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B5J:unknown,,scoped_name_fallback,,,,peptide,1B5J,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B6H:unknown,,scoped_name_fallback,,,,peptide,1B6H,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B6J:unknown,,scoped_name_fallback,,,,peptide,1B6J,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B72:unknown,,scoped_name_fallback,,,,nucleic_acid,1B72,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B7H:unknown,,scoped_name_fallback,,,,peptide,1B7H,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B7X:unknown,,scoped_name_fallback,,,,peptide,1B7X,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B8D:unknown,,scoped_name_fallback,,,,peptide,1B8D,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B8H:unknown,,scoped_name_fallback,,,,peptide,1B8H,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B8I:unknown,,scoped_name_fallback,,,,nucleic_acid,1B8I,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B9E:unknown,,scoped_name_fallback,,,,peptide,1B9E,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1B9J:unknown,,scoped_name_fallback,,,,peptide,1B9J,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1BA8:unknown,,scoped_name_fallback,,,,peptide,1BA8,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1BB0:unknown,,scoped_name_fallback,,,,peptide,1BB0,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1BBR:unknown,,scoped_name_fallback,,,,peptide,1BBR,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1BBZ:unknown,,scoped_name_fallback,,,,peptide,1BBZ,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1BC5:unknown,,scoped_name_fallback,,,,peptide,1BC5,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1BCK:unknown,,scoped_name_fallback,,,,peptide,1BCK,Scoped ligand fallback because neither InChIKey nor component ID was available.
